"anio","fecha_inicio_solicitudes","fecha_fin_solicitudes","cod_universidad","des_universidad","cod_convocatoria","des_convocatoria","nombre_convocatoria","cod_univ_aplicacion","des_univ_aplicacion","cod_ambito_aplicacion","des_ambito_aplicacion","cod_agente_financiador","des_agente_financiador","cod_agente_cofinanciador","des_agente_cofinanciador","ind_efectos_multianuales","num_periodos","cod_categoria","des_categoria","cod_financia_matricula","des_financia_matricula","ind_modalidad_compensatoria","cod_modalidad_residencia","des_modalidad_residencia","cod_modalidad_mov_interna","des_modalidad_mov_interna","cod_modalidad_mov_internacional","des_modalidad_mov_internacional","cod_modalidad_gastos_despl","des_modalidad_gastos_despl","cod_modalidad_material","des_modalidad_material","cod_modalidad_comedor","des_modalidad_comedor","cod_modalidad_contraprestacion_serv","des_modalidad_contraprestacion_serv","cod_modalidad_idiomas","des_modalidad_idiomas","ind_modalidad_discapacidad","ind_modalidad_seguros","ind_otras_modalidades","cod_nivel_estudios","des_nivel_estudios","ind_req_rendimiento","ind_req_creditos","ind_req_renta","ind_req_patrimonio","ind_req_discapacidad","ind_req_genero","ind_req_edad","ind_req_residencia_curso","ind_req_residencia_habitual","ind_req_vinc_territorial","cod_req_nacionalidad","des_req_nacionalidad","ind_req_presencialidad","ind_req_credencial_becario","ind_req_desempleado","ind_complementaria","ind_incompatible","presupuesto_inicial","presupuesto_ejecutado","num_plazas"
"2021","20210701","20210719","023","Universidad Autónoma de Madrid","131023308","Beca de AULA","Becas de Aula. NBO","1","Públicas","5","Estudiantes en la universidad convocante","6","Otro organismo privado","0","No hay","NO",,"2","Colaboración","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","SÍ","NO","14400","6400","8"
"2021","20210601","20210806","023","Universidad Autónoma de Madrid","131023313","Programa de ayudas de estudios a estudiantes refugiados o solicitantes de asilo","Convocatoria de ayudas de estudios a estudiantes refugiados o solicitantes de asilo. NBO","1","Públicas","4","Estudiantes extranjeros","4","Universidad","0","No hay","SÍ","4","1","Becas y ayudas","1","Sí, de carácter pecuniario","SÍ","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","1","Sí, de carácter pecuniario","0","No","1","Sí, de carácter pecuniario","NO","NO","NO","6","Grado, Máster y Doctorado","SÍ","SÍ","SÍ","NO","NO","NO","NO","SÍ","SÍ","SÍ","0","No","SÍ","NO","NO","NO","NO",,,
"2020","20200706","20200806","023","Universidad Autónoma de Madrid","131023313","Programa de ayudas de estudios a estudiantes refugiados o solicitantes de asilo","Convocatoria de ayudas de estudios a estudiantes refugiados o solicitantes de asilo. NBO","1","Públicas","4","Estudiantes extranjeros","4","Universidad","0","No hay","SÍ","4","1","Becas y ayudas","1","Sí, de carácter pecuniario","SÍ","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","0","No","1","Sí, de carácter pecuniario","NO","NO","NO","6","Grado, Máster y Doctorado","SÍ","NO","SÍ","NO","NO","NO","NO","SÍ","SÍ","SÍ","0","No","SÍ","NO","NO","NO","NO",,,
"2019","20191014","20191114","023","Universidad Autónoma de Madrid","131023313","Programa de ayudas de estudios a estudiantes refugiados o solicitantes de asilo","Convocatoria de ayudas de estudios a estudiantes refugiados o solicitantes de asilo. NBO","1","Públicas","4","Estudiantes extranjeros","4","Universidad","0","No hay","SÍ","4","1","Becas y ayudas","1","Sí, de carácter pecuniario","SÍ","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","0","No","1","Sí, de carácter pecuniario","NO","NO","NO","6","Grado, Máster y Doctorado","SÍ","NO","SÍ","NO","NO","NO","NO","SÍ","SÍ","SÍ","0","No","SÍ","NO","NO","NO","NO",,,
"2018","20190320","20190420","023","Universidad Autónoma de Madrid","131023313","Programa de ayudas de estudios a estudiantes refugiados o solicitantes de asilo","Convocatoria de ayudas de estudios a estudiantes refugiados o solicitantes de asilo. NBO","1","Públicas","4","Estudiantes extranjeros","4","Universidad","0","No hay","SÍ","4","1","Becas y ayudas","1","Sí, de carácter pecuniario","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","NO","NO","NO","6","Grado, Máster y Doctorado","SÍ","NO","SÍ","NO","NO","NO","NO","SÍ","SÍ","SÍ","0","No","SÍ","NO","NO","NO","NO",,,
"2021","20210910","20210915","023","Universidad Autónoma de Madrid","131023311","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","18813,34","16504","25"
"2022","20211217","20220110","023","Universidad Autónoma de Madrid","131023311","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","13500","9290,66","15"
"2021","20210910","20210915","023","Universidad Autónoma de Madrid","131023312","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado.  NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","2","Máster","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","23520","20190,33","16"
"2022","20211217","20220110","023","Universidad Autónoma de Madrid","131023312","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado.  NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","2","Máster","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","13500","11709,8","10"
"2016","20160613","20160628","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","2602716,21","2729084,76","32"
"2017","20170405","20170420","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","2627940,4","2544588,06","32"
"2018","20180409","20180423","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","2627940,4","2279915,88","32"
"2019","20190513","20190527","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","2627940,4","1293938,82","33"
"2020","20200622","20200706","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","3005430,12","748222,98","33"
"2021","20210621","20210705","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","3039901,92","46482,8","33"
